application_id,state,sector,investment,employees,approval_count,document_count,missing_document_count,inspection_required,department_count,previous_queries,project_stage,applicant_type,season,authority,sla_days,actual_processing_days,delayed
APP_SYN_0001,Uttar Pradesh,Information Technology,6737725.98,28,4,12,3,1,2,0,Pre-Operation,MSME,Q3,UP Fire Service,15,22.2,1
APP_SYN_0002,Uttar Pradesh,Food Processing,2397015.8,96,5,20,0,1,3,0,Pre-Operation,MSME,Q1,Directorate of Factories,60,59.5,0
APP_SYN_0003,Maharashtra,Pharmaceuticals,5815868.15,13,3,12,1,0,1,0,Pre-Operation,MSME,Q2,FSSAI,20,18.5,0
APP_SYN_0004,Uttar Pradesh,Pharmaceuticals,485398973.93,526,10,40,0,0,3,2,Pre-Establishment,Enterprise,Q2,Legal Metrology,30,36.3,1
APP_SYN_0005,Uttar Pradesh,Manufacturing,1913070.79,13,1,3,2,0,1,3,Pre-Operation,Individual,Q1,CEIG,30,37.4,1
APP_SYN_0006,Uttar Pradesh,Food Processing,18712535.95,184,4,16,0,0,4,1,Pre-Operation,Enterprise,Q3,Directorate of Factories,30,30.9,1
APP_SYN_0007,Maharashtra,Food Processing,7835974.49,18,4,20,0,0,1,0,Pre-Operation,MSME,Q3,Legal Metrology,15,12.8,0
APP_SYN_0008,Gujarat,Food Processing,2918955.56,4,1,5,0,0,1,2,Pre-Operation,Individual,Q3,Boilers Directorate,30,27.8,0
APP_SYN_0009,Gujarat,Pharmaceuticals,16150954.48,96,2,8,0,0,2,0,Pre-Operation,MSME,Q2,Legal Metrology,30,23.9,0
APP_SYN_0010,Tamil Nadu,Food Processing,4097257.42,83,4,12,0,0,2,0,Pre-Operation,MSME,Q1,UPPCB,15,10.5,0
APP_SYN_0011,Gujarat,Textiles,1157037.21,5,2,6,1,0,1,0,Pre-Establishment,Individual,Q3,UPPCB,20,19.1,0
APP_SYN_0012,Maharashtra,Manufacturing,4829083.22,74,4,12,0,1,3,1,Pre-Establishment,MSME,Q1,Boilers Directorate,45,54.0,1
APP_SYN_0013,Uttar Pradesh,Food Processing,64533977.7,387,11,55,0,0,2,2,Pre-Operation,Enterprise,Q4,Boilers Directorate,45,44.9,0
APP_SYN_0014,Uttar Pradesh,Textiles,4157428.26,16,6,30,0,0,1,1,Pre-Operation,MSME,Q4,UPPCB,30,27.3,0
APP_SYN_0015,Tamil Nadu,Manufacturing,48820430.58,276,11,33,1,0,3,0,Operation,Enterprise,Q1,FSSAI,20,22.3,1
APP_SYN_0016,Gujarat,Textiles,112981655.31,441,10,30,0,0,4,0,Pre-Establishment,Enterprise,Q1,Legal Metrology,30,26.0,0
APP_SYN_0017,Uttar Pradesh,Manufacturing,1144981.49,32,2,6,0,1,1,1,Operation,MSME,Q4,Directorate of Factories,15,13.7,0
APP_SYN_0018,Rajasthan,Manufacturing,35503991.51,351,8,40,4,0,4,0,Pre-Establishment,Enterprise,Q4,UPPCB,15,24.1,1
APP_SYN_0019,Uttar Pradesh,Manufacturing,8958291.09,27,3,15,0,0,3,2,Pre-Establishment,MSME,Q2,UP Fire Service,15,14.0,0
APP_SYN_0020,Gujarat,Manufacturing,2998549.09,11,2,6,0,0,1,0,Pre-Establishment,MSME,Q2,UPPCB,45,33.3,0
APP_SYN_0021,Uttar Pradesh,Manufacturing,45574109.75,354,7,28,0,1,3,0,Pre-Operation,Enterprise,Q3,UPPCB,30,32.5,1
APP_SYN_0022,Uttar Pradesh,Information Technology,178017569.87,318,5,20,0,0,5,0,Pre-Operation,Enterprise,Q4,FSSAI,20,18.9,0
APP_SYN_0023,Uttar Pradesh,Food Processing,13520711.24,562,10,40,0,0,3,2,Operation,Enterprise,Q1,FSSAI,30,31.7,1
APP_SYN_0024,Maharashtra,Textiles,13725749.45,135,4,16,0,0,2,0,Pre-Operation,Enterprise,Q3,FSSAI,60,51.8,0
APP_SYN_0025,Uttar Pradesh,Food Processing,266744263.1,571,9,36,0,0,2,2,Pre-Operation,Enterprise,Q4,UPPCB,20,20.8,1
APP_SYN_0026,Maharashtra,Textiles,1478355.5,12,2,10,1,0,1,0,Pre-Operation,Individual,Q2,UPPCB,45,42.9,0
APP_SYN_0027,Uttar Pradesh,Information Technology,6748248.14,85,3,12,1,0,1,0,Operation,MSME,Q1,FSSAI,20,16.0,0
APP_SYN_0028,Gujarat,Food Processing,5612995.92,77,4,20,0,0,1,1,Operation,MSME,Q1,CEIG,20,17.4,0
APP_SYN_0029,Tamil Nadu,Pharmaceuticals,128949437.28,391,8,40,0,0,4,2,Pre-Operation,Enterprise,Q1,Directorate of Factories,15,17.3,1
APP_SYN_0030,Uttar Pradesh,Information Technology,6334528.58,56,4,12,2,0,1,0,Operation,MSME,Q3,CEIG,20,19.6,0
APP_SYN_0031,Uttar Pradesh,Manufacturing,69196248.54,302,9,36,1,0,4,2,Pre-Operation,Enterprise,Q3,Directorate of Factories,30,44.6,1
APP_SYN_0032,Uttar Pradesh,Food Processing,3033551.56,65,5,25,0,1,2,0,Operation,MSME,Q1,Legal Metrology,20,17.6,0
APP_SYN_0033,Uttar Pradesh,Manufacturing,14900578.28,81,5,15,0,0,2,2,Pre-Establishment,MSME,Q1,Boilers Directorate,15,15.9,1
APP_SYN_0034,Rajasthan,Food Processing,10584055.39,61,3,9,0,0,3,3,Operation,MSME,Q1,Legal Metrology,30,31.0,1
APP_SYN_0035,Uttar Pradesh,Textiles,4474395.25,8,2,8,0,0,1,0,Operation,Individual,Q4,Legal Metrology,20,14.0,0
APP_SYN_0036,Uttar Pradesh,Manufacturing,1604527.9,17,4,16,3,1,1,1,Pre-Establishment,MSME,Q1,FSSAI,20,28.6,1
APP_SYN_0037,Tamil Nadu,Pharmaceuticals,6826905.26,67,2,10,2,1,2,0,Pre-Establishment,MSME,Q1,Legal Metrology,20,21.4,1
APP_SYN_0038,Uttar Pradesh,Food Processing,40013174.88,507,6,18,0,0,2,3,Operation,Enterprise,Q3,CEIG,30,35.8,1
APP_SYN_0039,Uttar Pradesh,Textiles,6542742.31,7,4,12,1,0,2,2,Pre-Operation,MSME,Q4,Boilers Directorate,20,27.7,1
APP_SYN_0040,Uttar Pradesh,Food Processing,26955952.58,355,5,20,1,0,3,1,Pre-Operation,Enterprise,Q2,Directorate of Factories,20,20.9,1
APP_SYN_0041,Maharashtra,Pharmaceuticals,4612422.62,21,3,9,4,0,1,0,Pre-Establishment,MSME,Q1,CEIG,30,42.7,1
APP_SYN_0042,Uttar Pradesh,Food Processing,7226595.49,8,2,10,0,1,2,1,Pre-Establishment,MSME,Q3,Directorate of Factories,15,14.5,0
APP_SYN_0043,Karnataka,Food Processing,968316.81,50,3,12,0,0,1,0,Pre-Establishment,MSME,Q2,UPPCB,20,15.4,0
APP_SYN_0044,Gujarat,Manufacturing,6215164.44,51,3,12,0,1,3,0,Pre-Establishment,MSME,Q1,UP Fire Service,20,19.3,0
APP_SYN_0045,Gujarat,Pharmaceuticals,18238219.6,19,2,6,0,0,2,2,Pre-Operation,MSME,Q1,UP Fire Service,15,11.0,0
APP_SYN_0046,Maharashtra,Food Processing,4246118.31,90,3,9,1,0,3,0,Pre-Establishment,MSME,Q2,Directorate of Factories,45,53.9,1
APP_SYN_0047,Gujarat,Food Processing,4569931.77,98,4,16,2,0,2,2,Pre-Operation,MSME,Q1,UPPCB,15,15.5,1
APP_SYN_0048,Uttar Pradesh,Textiles,39510953.66,490,5,25,1,0,4,1,Operation,Enterprise,Q4,FSSAI,15,18.7,1
APP_SYN_0049,Uttar Pradesh,Manufacturing,1592104.96,41,4,12,0,0,3,0,Pre-Operation,MSME,Q3,UPPCB,15,14.7,0
APP_SYN_0050,Uttar Pradesh,Information Technology,107790080.47,599,10,40,0,1,4,1,Pre-Establishment,Enterprise,Q1,Boilers Directorate,20,24.9,1
APP_SYN_0051,Tamil Nadu,Information Technology,8248430.63,64,4,12,2,0,1,0,Pre-Establishment,MSME,Q1,Legal Metrology,20,21.4,1
APP_SYN_0052,Tamil Nadu,Manufacturing,9495603.82,67,2,6,2,0,1,0,Pre-Operation,MSME,Q2,Directorate of Factories,45,54.9,1
APP_SYN_0053,Gujarat,Food Processing,54008217.38,338,7,35,1,1,3,1,Operation,Enterprise,Q4,UP Fire Service,30,38.1,1
APP_SYN_0054,Karnataka,Food Processing,27628343.54,208,10,30,0,0,5,1,Pre-Establishment,Enterprise,Q1,Directorate of Factories,15,17.0,1
APP_SYN_0055,Uttar Pradesh,Textiles,9165928.36,118,7,28,3,0,4,0,Pre-Operation,Enterprise,Q3,FSSAI,20,29.2,1
APP_SYN_0056,Tamil Nadu,Food Processing,5882637.86,72,6,30,0,1,1,1,Pre-Operation,MSME,Q1,UPPCB,20,21.3,1
APP_SYN_0057,Gujarat,Information Technology,5635407.0,44,6,18,1,0,3,1,Operation,MSME,Q2,CEIG,30,37.2,1
APP_SYN_0058,Uttar Pradesh,Manufacturing,1991336.04,11,1,5,0,0,1,0,Operation,Individual,Q3,UP Fire Service,20,15.5,0
APP_SYN_0059,Tamil Nadu,Manufacturing,15942946.23,133,4,16,2,1,2,0,Pre-Operation,Enterprise,Q4,UP Fire Service,20,25.8,1
APP_SYN_0060,Uttar Pradesh,Manufacturing,402390736.44,67,4,20,0,1,3,0,Pre-Operation,Enterprise,Q2,Legal Metrology,20,17.0,0
APP_SYN_0061,Maharashtra,Food Processing,11220348.01,211,7,35,4,1,2,2,Pre-Establishment,Enterprise,Q3,Directorate of Factories,20,33.8,1
APP_SYN_0062,Maharashtra,Food Processing,10324687.99,55,2,8,2,1,2,1,Pre-Establishment,MSME,Q4,Legal Metrology,30,34.6,1
APP_SYN_0063,Rajasthan,Information Technology,6996400.9,64,3,9,2,0,2,0,Pre-Establishment,MSME,Q3,UP Fire Service,20,19.9,0
APP_SYN_0064,Maharashtra,Food Processing,1325399.48,90,5,20,1,1,1,0,Pre-Operation,MSME,Q2,UPPCB,15,13.9,0
APP_SYN_0065,Maharashtra,Manufacturing,69417588.42,543,7,28,3,1,3,1,Pre-Operation,Enterprise,Q1,Boilers Directorate,30,42.3,1
APP_SYN_0066,Maharashtra,Chemicals,22948433.0,90,6,18,0,1,3,0,Pre-Operation,MSME,Q1,UPPCB,30,30.2,1
APP_SYN_0067,Maharashtra,Manufacturing,1222210.13,58,4,20,0,1,1,0,Pre-Operation,MSME,Q2,UP Fire Service,30,22.2,0
